,time,summary,title,trend
294,2019-12-18,"['...cars', 'and', 'other', 'connected', 'devices.', 'The', '27', 'companies', 'that', 'signed', 'a', 'letter', 'to', 'the', 'Commission', 'also', 'includes', 'Ford,', 'Continental...']","['Opening', 'Quote:', 'Overhauling', 'audits:', 'Brydon', 'review', 'proposes', 'sweeping', 'changes']",DOWN
295,2019-12-18,"['...95g', 'per', 'kilometre.', 'To', 'hit', 'the', 'targets,', 'they', 'must', 'sell', 'a', 'large', 'number', 'of', 'electric', 'cars', 'that', 'the', 'vast', 'majority', 'of...']","['Can', 'European', 'carmakers', 'accelerate', 'electric', 'transition?']",DOWN
296,2019-12-18,"['...,', 'in', 'autonomous', 'cars.', 'So', 'what', 'is', 'to', 'be', 'done?', 'There', 'is', 'little', 'talk', 'of', 'a', 'merger.', '“I', 'don’t', 'think', 'there’s', 'a', 'need', 'for', 'a...']","['EU', 'needs', 'common', 'telecoms', 'rules', 'to', 'thwart', 'Huawei’s', '5G', 'threat']",DOWN
297,2019-12-18,"['...still', 'clustered', 'in', 'countries', 'that', 'offer', 'generous', 'incentives.', 'Instead,', 'consumers', 'are', 'shunning', 'diesel', 'in', 'favour', 'of...']","['Can', 'European', 'carmakers', 'accelerate', 'electric', 'transition?']",DOWN
298,2019-12-18,"['...has', 'made', 'lower', 'petrol', 'prices', 'a', 'central', 'part', 'of', 'his', 'pitch', 'to', 'voters,', 'and', 'in', 'Saudi', 'Arabia', 'he', 'has', 'a', 'powerful', 'ally', 'heavily...']","['Betting', 'on', 'a', 'rise', 'in', 'crude', 'remains', 'a', 'risky', 'gambit']",DOWN
299,2019-12-18,"['...secured', 'nearly', '5,000', 'orders.', 'There', 'are', 'some', 'similarities', 'too', 'with', 'the', 'diesel', 'emission-cheating', 'scandal', 'at', 'Volkswagen.', 'Both...']","['Boeing', 'needs', 'to', 'transform', 'the', 'way', 'it', 'operates']",DOWN
300,2019-12-18,"['...still', 'clustered', 'in', 'countries', 'that', 'offer', 'generous', 'incentives.', 'Instead,', 'consumers', 'are', 'shunning', 'diesel', 'in', 'favour...']","['Can', 'European', 'carmakers', 'accelerate', 'electric', 'transition?']",DOWN
301,2019-12-18,"['Brazilian', 'police', 'have', 'searched', 'the', 'local', 'offices', 'of', 'Maersk,', 'the', 'world’s', 'largest', 'container', 'shipping', 'company,', 'in...']","['Maersk', 'offices', 'raided', 'in', 'Brazil', 'over', 'Petrobras', 'bribe', 'probe']",DOWN
302,2019-12-18,"['...performance', 'at', 'the', 'rail', 'franchise.', 'Scotland’s', 'Transport', 'Secretary', 'Michael', 'Matheson', 'on', 'Wednesday', 'told', 'MSPs', 'that', 'the', 'extra...']","['Abellio’s', 'ScotRail', 'contract', 'to', 'end', 'three', 'years', 'early']",DOWN
303,2019-12-18,"['Chancellor', 'Angela', 'Merkel', 'has', 'criticised', 'US', 'sanctions', 'against', 'the', 'new', '$9.5bn', 'pipeline', 'that', 'will', 'transport', 'Russian', 'gas', 'to...']","['Angela', 'Merkel', 'hits', 'out', 'at', 'US', 'sanctions', 'on', 'Nord', 'Stream', '2', 'pipeline']",DOWN
304,2019-12-18,"['Boeing’s', 'handling', 'of', 'events', 'following', 'the', 'two', 'deadly', 'crashes', 'of', 'its', 'bestselling', 'aircraft,', 'the', '737', 'Max,', 'will', 'provide', 'a...']","['Boeing', 'needs', 'to', 'transform', 'the', 'way', 'it', 'operates']",DOWN
305,2019-12-18,"['...days.', 'Thalys', 'services', 'linking', 'Paris', 'to', 'Brussels,', 'Amsterdam', 'and', 'Cologne,', 'have', 'been', 'only', 'partly', 'affected.', 'Paris', 'transport...']","['December', 'strikes', 'in', 'Paris:', 'travel', 'disruptions', 'to', 'look', 'out', 'for']",DOWN
306,2019-12-18,"['...group', 'Transport', '&', 'Environment.', 'She', 'argues', 'that', 'carmakers', 'pushed', 'SUVs', 'because', 'they', 'make', 'more', 'profit', 'than', 'traditional...']","['Can', 'European', 'carmakers', 'accelerate', 'electric', 'transition?']",DOWN
307,2019-12-18,"['...and', 'insufficient', 'customer', 'interest,', 'as', 'the', 'companies’', 'chief', 'executives', 'refocus', 'on', 'selling', 'premium', 'vehicles.', 'The', 'German...']","['BMW,', 'Daimler', 'reverse', 'out', 'of', 'car-sharing', 'venture']",DOWN
308,2019-12-18,"['...ability', 'to', 'invest', 'in', 'new', 'technologies', 'set', 'to', 'define', 'vehicles', 'of', 'the', 'future.', 'Its', 'sales', 'of', '8.7m', 'vehicles', 'a...']","['Fiat', 'Chrysler', 'and', 'Peugeot', 'agree', 'to', 'merge', 'in', 'giant', 'auto', 'deal']",DOWN
309,2019-12-18,"['...,', 'which', 'would', 'be', 'the', 'largest', 'unlisted', 'infrastructure', 'vehicles', 'ever', 'raised.', '“It', 'is', 'clear', 'that', 'infrastructure', 'fund', 'managers...']","['Sun', 'Life', 'to', 'buy', 'InfraRed', 'Capital', 'for', '$390m']",DOWN
