,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
845,1343.5,1376.8,1340.03,1374.0699,1311.1223,446176,0.0,1.0,2016-06-28,1383.8682,1373.9962,-23.0458,-0.873,-22.1728,76.5385,93.7926,47.8771,10.3457,-33.6294,96.6667,55.0,1280.3395,1383.8682,1487.3968,-9483353.82,105387890.0
846,1317.5,1347.97,1312.65,1341.65,1280.1875,340512,0.0,1.0,2016-06-27,1383.3548,1375.0299,-26.4621,-4.5076,-21.9545,55.1701,76.9469,46.6232,10.2793,-78.928,98.3333,56.6667,1278.731,1383.3548,1487.9787,-9863274.4067,104941714.0
847,1290.0,1322.2,1259.55,1316.47,1256.1609,295184,0.0,1.0,2016-06-24,1383.2257,1376.9801,-27.7904,-6.9628,-20.8276,37.6376,58.876,45.2534,10.1556,-131.8283,0.0,58.3333,1278.2583,1383.2257,1488.193,-10081927.9117,104601202.0
848,1309.0,1321.0,1304.65,1312.72,1252.5829,326746,0.0,1.0,2016-06-23,1383.5173,1379.9286,-26.2816,-7.1947,-19.0869,22.2283,29.6873,46.0564,9.9776,-110.1818,1.6667,60.0,1279.4948,1383.5173,1487.5399,-10323116.6663,104306018.0
849,1284.2,1310.0,1280.55,1306.85,1246.9818,587516,0.0,1.0,2016-06-22,1384.5803,1382.3329,-25.9081,-8.6199,-17.2882,18.805,24.3494,44.7991,9.86,-132.7722,3.3333,61.6667,1282.3372,1384.5803,1486.8235,-10318918.2838,103979272.0
850,1297.5,1303.5,1280.15,1282.4301,1223.6807,917576,0.0,1.0,2016-06-21,1386.1365,1385.6595,-22.5294,-7.3962,-15.1333,15.5564,12.6481,45.3566,9.7178,-154.6495,5.0,63.3333,1287.2653,1386.1365,1485.0077,-10780750.5772,103391756.0
851,1312.5,1316.0,1293.75,1311.1,1251.037,361262,0.0,1.0,2016-06-20,1387.3115,1388.6479,-19.2435,-5.9593,-13.2842,17.4133,19.4176,45.9913,9.5597,-132.0345,6.6667,65.0,1291.0403,1387.3115,1483.5827,-10042369.6913,104309332.0
852,1345.0,1349.25,1318.4,1319.8,1259.3385,570482,0.0,1.0,2016-06-17,1387.8615,1391.2292,-16.2968,-4.5024,-11.7944,15.74,14.6036,47.4046,9.4181,-98.8869,8.3333,66.6667,1292.9385,1387.8615,1482.7845,-10244513.267,104670594.0
853,1340.0,1348.1,1336.03,1343.45,1281.905,201042,0.0,1.0,2016-06-16,1387.9365,1392.7963,-15.6078,-4.939,-10.6688,14.4879,18.2188,47.159,9.3096,-77.1618,10.0,68.3333,1293.1421,1387.9365,1482.7309,-9725810.1768,105241076.0
854,1349.5,1349.5,1335.62,1341.3,1279.8536,219818,0.0,1.0,2016-06-15,1388.4365,1394.586,-13.9923,-4.5582,-9.434,14.3067,14.3977,47.5741,9.2255,-78.508,11.6667,70.0,1294.3449,1388.4365,1482.5281,-9771946.7201,105040034.0
855,1338.0,1348.25,1333.75,1340.5699,1279.157,216544,0.0,1.0,2016-06-14,1388.779,1396.1144,-12.694,-4.3995,-8.2945,18.546,10.8472,47.0189,9.1398,-81.6796,13.3333,71.6667,1295.1081,1388.779,1482.4499,-9732039.0458,104820216.0
856,1358.0,1358.0,1330.0,1339.1,1277.7544,222102,0.0,1.0,2016-06-13,1389.8143,1398.0844,-9.6814,-2.4868,-7.1946,31.3023,17.6753,47.8862,9.0503,-81.9655,15.0,73.3333,1297.0425,1389.8143,1482.5862,-9719194.1336,104603672.0
857,1387.0,1387.0,1362.03,1364.62,1302.1052,184010,0.0,1.0,2016-06-10,1390.781,1399.4431,-7.7318,-1.1589,-6.5729,44.9225,27.1156,49.1795,8.9593,-33.7049,16.6667,75.0,1298.1467,1390.781,1483.4153,-9641458.0529,104825774.0
858,1385.0,1397.75,1376.03,1380.62,1317.3722,394974,0.0,1.0,2016-06-09,1391.3368,1399.8649,-8.0836,-1.8004,-6.2832,57.0266,49.116,49.0862,8.9133,-10.9082,18.3333,76.6667,1298.4002,1391.3368,1484.2735,-9495620.2753,105009784.0
859,1390.0699,1403.5,1380.03,1385.2,1321.7424,260920,0.0,1.0,2016-06-08,1391.8368,1400.3688,-8.2115,-2.3784,-5.8331,62.9766,58.5358,49.3118,8.8875,-3.3693,20.0,78.3333,1298.7193,1391.8368,1484.9543,-9267581.7865,105404758.0
860,1388.5,1405.0,1388.5,1397.5699,1333.5458,803048,0.0,1.0,2016-06-07,1392.0852,1400.718,-8.7714,-3.533,-5.2385,66.6915,63.428,49.2408,8.8673,8.8688,21.6667,80.0,1298.9084,1392.0852,1485.262,-9121611.7409,105665678.0
861,1382.5,1394.25,1367.5699,1386.9301,1323.3933,204054,0.0,1.0,2016-06-06,1392.6935,1401.1321,-9.1987,-4.8435,-4.3552,66.5852,66.9661,48.9721,8.8593,-15.8108,23.3333,81.6667,1299.1424,1392.6935,1486.2446,-9201424.5888,104862630.0
862,1400.0,1402.3,1378.03,1381.6801,1318.3837,333634,0.0,1.0,2016-06-03,1393.5185,1401.7637,-8.9994,-5.855,-3.1444,64.2888,69.6803,49.727,8.8318,-9.4168,25.0,83.3333,1299.4698,1393.5185,1487.5672,-9293509.9803,104658576.0
863,1384.97,1411.15,1380.28,1399.75,1335.626,372480,0.0,1.0,2016-06-02,1394.1685,1401.8235,-10.3959,-8.7152,-1.6806,58.2294,63.1093,49.0639,8.8192,5.9243,26.6667,85.0,1299.4132,1394.1685,1488.9238,-9060227.9735,104992210.0
864,1370.0,1396.2,1362.6,1382.55,1319.2139,961922,0.0,1.0,2016-06-01,1394.844,1402.3948,-10.4967,-10.9949,0.4982,53.9381,60.0769,48.3972,8.8097,-22.802,28.3333,86.6667,1299.7833,1394.844,1489.9047,-9157600.6442,104619730.0
865,1374.0,1379.5,1345.47,1353.1,1291.113,548766,0.0,1.0,2016-05-31,1394.9773,1403.4929,-8.9486,-12.1955,3.2469,46.1832,51.5019,48.5642,8.7737,-58.5887,30.0,88.3333,1300.034,1394.9773,1489.9207,-9337966.0489,103657808.0
866,1360.0,1379.0,1360.0,1373.03,1310.13,221882,0.0,1.0,2016-05-30,1394.7607,1404.4927,-7.2497,-13.5455,6.2958,37.3781,50.2356,47.9459,8.7073,-40.32,31.6667,90.0,1299.5678,1394.7607,1489.9535,-9035281.9623,104206574.0
867,1379.5,1380.9301,1350.55,1359.65,1297.363,1026142,0.0,1.0,2016-05-27,1394.5357,1406.0009,-3.5504,-13.2326,9.6822,26.1205,36.812,48.7485,8.6601,-51.0313,33.3333,91.6667,1298.9522,1394.5357,1490.1191,-9117729.3196,103984692.0
868,1378.4,1397.5,1364.03,1372.2,1309.3378,719338,0.0,1.0,2016-05-26,1394.5023,1406.8993,-0.7626,-13.7529,12.9903,17.9575,25.0866,48.7008,8.6121,-27.193,35.0,93.3333,1298.8965,1394.5023,1490.1081,-8706324.9766,105010834.0
869,1330.35,1382.5,1328.75,1375.72,1312.6968,708388,0.0,1.0,2016-05-25,1394.8873,1407.8653,2.9188,-13.5098,16.4286,21.535,16.4629,46.5679,8.582,-53.1544,36.6667,95.0,1299.358,1394.8873,1490.4167,-8338163.5791,105730172.0
870,1341.25,1375.0,1305.0,1327.03,1266.2373,1125678,0.0,1.0,2016-05-24,1396.0073,1410.493,12.4674,-7.3386,19.806,35.5678,12.3229,47.0039,8.5255,-99.5383,38.3333,96.6667,1301.9667,1396.0073,1490.0479,-8867839.3491,105021784.0
871,1425.0,1425.0,1330.5,1341.25,1279.8059,1521808,0.0,1.0,2016-05-23,1396.2282,1412.8402,23.3639,1.7232,21.6407,59.1743,35.8192,50.5815,8.4551,-52.0332,40.0,98.3333,1302.6418,1396.2282,1489.8145,-8450696.1772,106147462.0
872,1504.95,1517.53,1455.0,1465.35,1398.2206,404474,0.0,1.0,2016-05-20,1395.5032,1412.428,28.4046,7.1947,21.2099,74.5121,58.5614,54.4736,8.4181,142.9865,41.6667,100.0,1302.1459,1395.5032,1488.8604,-7275119.6269,107669270.0
873,1489.97,1507.5,1488.05,1497.97,1429.3463,313492,0.0,1.0,2016-05-19,1392.6573,1409.2917,26.2848,6.8736,19.4112,83.7874,83.1423,53.8189,8.5491,181.2449,43.3333,96.6667,1302.4623,1392.6573,1482.8524,-7004542.7723,108073744.0
